키워드,카페명,카페 주소,카테고리명,글쓴이ID,포스트 제목,포스트일,조회수,비디오수,그림수,댓글수,글자수,키워드수
헤어,액션피겨 (액션피규어),http://cafe.naver.com/actionfigure/1037587,토르의헤어스타일변천사,토르1223(sekq****),토르의 헤어스타일 변천사,2019.02.21. 15:13,402,1,9,11,561,4
헤어,지후맘임신출산육아임산부용품체험단이벤트공구공동구매맘스홀릭,http://cafe.naver.com/1msanbu/2446971,헤어샴푸두피케어따로필요없어요!,꽃내음뿌기(dthe****),헤어샴푸 두피케어 따로 필요없어요!,2019.02.21. 18:13,20,0,4,10,421,5
헤어,뷰티룸::No.1 화장품&뷰티 커뮤니티,http://cafe.naver.com/kaka0tjjang/161939,청미정헤어트리트먼트건성두피에좋네요,화이난처우(auuu****),청미정 헤어트리트먼트 건성두피에 좋네요,2019.02.11. 16:30,199,0,8,10,896,16
헤어,마비노기 도서관 카페. 마도카!,http://cafe.naver.com/mabinogidsg/494695,[기자단ㅣ리뷰],HP비유하(s_ju****),[기자단ㅣ리뷰],2019.02.18. 02:38,"2,104",0,5,19,225,10
헤어,모여라 리뷰♡육아 교육 서평 북카페 공연 문화 체험단 이벤트,http://cafe.naver.com/foodballmanager/671605,닥터포헤어폴리젠샴푸숱많이늘었어요~,지코바치킨(josa****),닥터포헤어폴리젠샴푸 숱 많이 늘었어요~,2019.02.22. 14:51,64,0,5,10,533,10
헤어,『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),http://cafe.naver.com/feko/4648419,셀프헤어클리닉머리덜빠져요ㅎㅎ,괭이발톱(wcey****),셀프 헤어클리닉 머리 덜 빠져요ㅎㅎ,2019.02.22. 15:32,19,0,5,10,418,10
헤어,즐거운 대만여행~♬,http://cafe.naver.com/taiwantour/771532,[마사지],성북동비둘기야호(qlen****),[마사지],2019.02.22. 15:37,722,0,3,21,120,2
헤어,아이러브니키 공식커뮤니티,http://cafe.naver.com/ilovenikkicafe/1150675,성야전설헤어를흑발로바꿔보았습니다,LHElove(lhe3****),성야전설 헤어를 흑발로 바꿔보았습니다,2019.02.17. 21:51,679,0,2,14,596,6
헤어,메이플스토리 - 유저 커뮤니티,http://cafe.naver.com/black3vezx/695652,신비헤어일염추천좀요,메타(ghar****),신비헤어 일염 추천좀요,2019.02.21. 16:27,237,0,1,20,168,2
헤어,♥내포천사♥,http://cafe.naver.com/nepoengel/102584,코코헤어에서퐈마했어요~,윤호경태현호사랑해(free****),코코헤어에서 퐈마 했어요~,2019.02.17. 17:45,851,0,2,7,136,3
